NO(Main),NO(Sub),요구사항명,상세 요구사항 정의,유형,구분,도출단계,상태,출처,제약사항,수용여부,비고
1,1.1,서비스 기획,서비스 목적 정의,기획,전체,-,완료,-,-,-,-
1,1.2,요구사항 정의,기능 요구사항 정리,기획,전체,-,완료,-,-,-,-
2,2.1,데이터 수집,데이터셋 확보,데이터,전체,-,완료,-,-,-,-
2,2.2,데이터 전처리,결측치 및 이상치 처리,데이터,전체,-,진행,-,-,-,-
2,2.3,Feature 생성,RFM 및 파생 변수 생성,데이터,전체,-,진행,-,-,-,-
3,3.1,모델 개발,이탈 예측 모델 학습,모델,전체,-,대기,-,-,-,-
3,3.2,모델 평가,모델 성능 검증,모델,전체,-,대기,-,-,-,-
4,4.1,UI 개발,Streamlit 화면 구현,서비스,전체,-,대기,-,-,-,-
4,4.2,모델 연동,예측 결과 UI 연결,서비스,전체,-,대기,-,-,-,-
5,5.1,테스트,기능 테스트 수행,배포,전체,-,대기,-,-,-,-
5,5.2,배포,서비스 배포,배포,전체,-,대기,-,-,-,-
,6.1,완료,README 작성,,,-,대기,-,-,-,-
6,6.2,완료,발표자료 제작,,,-,대기,-,-,-,-
