"상품군별(1)","상품군별(2)",판매매체별(1),2026.01 p),2025.12 p),2025.11,2025.10,2025.09,2025.08,2025.07,2025.06,2025.05,2025.04,2025.03,2025.02,2025.01,2024.12,2024.11,2024.10,2024.09,2024.08,2024.07,2024.06,2024.05,2024.04,2024.03,2024.02,2024.01,2023.12,2023.11,2023.10,2023.09,2023.08,2023.07,2023.06,2023.05,2023.04,2023.03,2023.02,2023.01,2022.12,2022.11,2022.10,2022.09,2022.08,2022.07,2022.06,2022.05,2022.04,2022.03,2022.02,2022.01,2021.12,2021.11,2021.10,2021.09,2021.08,2021.07,2021.06,2021.05,2021.04,2021.03,2021.02,2021.01,2020.12,2020.11,2020.10,2020.09,2020.08,2020.07,2020.06,2020.05,2020.04,2020.03,2020.02,2020.01
"합계","소계",계,24100355,24584115,24365000,23123689,23996052,22571380,23392591,22222072,22679931,21942389,22573829,21346631,22189256,23149157,22902475,21919872,21248707,21337225,21728871,21755845,22535144,21383534,22081252,20582375,21801172,21862854,22195351,21360691,20308940,20359124,20129573,19698816,20496845,18966615,19747910,18029539,19050522,19573059,19011685,18532281,17815288,18556914,17874141,17571330,18169890,17323878,18138757,16243622,17364292,18433554,17580881,16975318,16187427,15802435,16167481,15596928,16030296,15075852,15923334,13834738,15115721,15972133,14978279,13856877,13818699,13415501,12845894,12508478,12552441,11913275,12439142,11884677,12098574
"합계","소계",인터넷쇼핑,5244927,5628200,5625585,5114061,5896555,4700757,4996644,4982883,5091626,4963791,5189596,5043122,4729874,5290856,5508226,5036825,4834826,4810399,5065991,5334582,5519731,5181423,5486656,4914840,5350776,5164956,5658916,5398342,5341949,5024017,4849356,5104767,5054452,4733596,5029431,4466080,4515207,4926269,4871573,4627518,4429417,4582650,4172297,4400997,4525484,4262803,4469340,3715625,4094776,4546316,4674470,4321111,4221087,4068287,4218060,4452474,4400375,4117439,4584525,3755863,4154948,4619202,4637678,4175701,4220154,4021483,4023902,4034712,3862018,3858165,3944168,3681611,3817529
"합계","소계",모바일쇼핑,18855429,18955915,18739415,18009628,18099497,17870623,18395947,17239189,17588305,16978598,17384233,16303510,17459382,17858301,17394249,16883047,16413881,16526826,16662880,16421263,17015413,16202111,16594595,15667535,16450396,16697898,16536436,15962349,14966991,15335108,15280216,14594049,15442393,14233019,14718479,13563459,14535316,14646791,14140112,13904764,13385871,13974265,13701844,13170333,13644406,13061074,13669417,12527997,13269516,13887238,12906412,12654207,11966340,11734148,11949421,11144454,11629921,10958413,11338809,10078875,10960772,11352931,10340600,9681175,9598544,9394018,8821992,8473766,8690424,8055111,8494974,8203066,8281045
"컴퓨터 및 주변기기","소계",계,941004,787984,808474,629056,731832,642102,648137,589639,624688,661039,805698,847287,750775,697060,738269,576369,580584,594466,633318,679113,698594,694528,842918,854724,896095,742274,759984,638039,646077,677521,675765,638742,710408,677035,865812,890982,785114,762779,800983,671761,684799,726006,699112,638140,734353,717002,895682,943650,857109,961286,832499,729530,736291,774229,751062,663578,728700,732751,871089,849681,886377,915378,736314,615848,711784,655302,627477,584489,614228,719961,759258,674827,606270
"컴퓨터 및 주변기기","소계",인터넷쇼핑,413422,376991,342028,278470,327490,265414,289279,258121,271009,308864,366193,396420,330553,344730,330008,274524,262201,271519,318073,362861,334856,347413,406108,408551,441757,379723,374888,326641,319041,336671,339051,327989,341423,346698,437403,423478,375141,412450,397312,344168,337087,357832,353768,329328,360368,361297,436962,442616,426178,504938,440303,389970,361370,405435,398976,358087,358402,385886,448924,413960,439730,499998,394626,339603,379361,340705,342726,328080,323924,388215,401374,358997,332810
"컴퓨터 및 주변기기","소계",모바일쇼핑,527582,410993,466447,350586,404342,376688,358858,331518,353679,352176,439505,450867,420222,352330,408261,301845,318383,322948,315246,316252,363739,347114,436810,446173,454339,362551,385096,311398,327036,340850,336714,310753,368985,330337,428409,467504,409973,350329,403671,327593,347713,368174,345344,308813,373986,355706,458719,501035,430931,456349,392196,339560,374921,368794,352086,305492,370299,346865,422166,435721,446647,415380,341688,276244,332423,314597,284750,256409,290304,331746,357883,315829,273459
"가전·전자·통신기기","소계",계,1817068,1896157,2082135,1912239,2100300,1869542,2208789,1864543,1905826,1717547,1723034,2021018,1721183,1767701,2009950,1871481,1951155,1749389,2075588,1908054,1873533,1752587,1716300,1770609,1995478,1819186,2186638,2224553,1537432,1896131,1855658,1757522,1835429,1529550,1600477,1770532,1683565,1748026,1862379,2074121,1619684,1791461,1774119,1683784,1716531,1554476,1661714,1802121,1647118,1759395,1999871,2024371,1570949,1665114,1914546,1635537,1694043,1523437,1665078,1494087,1747595,1716654,1824791,1535090,1311734,1536013,1319735,1459321,1516238,1246750,1298534,1250751,1063030
"가전·전자·통신기기","소계",인터넷쇼핑,416687,442422,492003,445395,535184,367991,482836,422161,439052,403668,400143,510259,389408,441550,524063,505450,500481,443997,575179,546185,561741,523595,482549,489821,586192,511820,635993,669208,460996,585763,554356,539373,559081,480779,502948,552516,507831,572088,587368,653866,459133,587503,567002,548771,579325,556310,603523,599163,539706,637081,645257,661197,514785,576436,658089,563485,575594,546939,612790,512864,610054,611410,663471,547418,462687,548239,502863,553380,588332,507840,518520,494994,400922
"가전·전자·통신기기","소계",모바일쇼핑,1400380,1453735,1590132,1466844,1565116,1501550,1725952,1442382,1466773,1313879,1322891,1510758,1331775,1326152,1485887,1366030,1450674,1305391,1500408,1361868,1311792,1228991,1233751,1280787,1409286,1307366,1550645,1555345,1076436,1310368,1301302,1218149,1276348,1048771,1097528,1218016,1175734,1175938,1275010,1420255,1160551,1203957,1207117,1135013,1137206,998166,1058191,1202958,1107412,1122314,1354614,1363174,1056165,1088677,1256457,1072052,1118449,976497,1052288,981223,1137541,1105244,1161320,987672,849047,987774,816872,905941,927906,738910,780014,755756,662108
