통계표,CSI코드,CSI분류코드,단위,변환,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12,2026/01
"6.2.1. 소비자동향조사(전국, 월, 2008.9~)","소비자심리지수","전체","","원자료","105.2","97.7","79.0","71.2","78.1","82.4","84.8","88.8","80.0","92.3","98.8","90.5","95.0","97.2","100.4","102.3","105.5","110.9","103.4","102.7","104.1","107.3","108.2","104.2","104.9","103.4","103.6","104.3","103.1","96.6","85.7","88.5","91.3","88.6","86.2","89.7","90.4","89.8","91.7","94.9","97.9","100.7","103.4","103.2","99.7","98.0","97.1","99.5","101.5","101.7","100.5","100.6","98.2","100.7","103.6","100.6","99.8","101.6","100.6","87.9","91.0","95.0","93.2","93.6","101.7","108.6","110.7","111.2","110.0","109.6","112.3","109.8","110.8"
"6.2.1. 소비자동향조사(전국, 월, 2008.9~)","소비자심리지수","    남자","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.2.1. 소비자동향조사(전국, 월, 2008.9~)","소비자심리지수","    여자","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.2.1. 소비자동향조사(전국, 월, 2008.9~)","소비자심리지수","    40세미만","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.2.1. 소비자동향조사(전국, 월, 2008.9~)","소비자심리지수","    40-50세","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.2.1. 소비자동향조사(전국, 월, 2008.9~)","소비자심리지수","    50-60세","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.2.1. 소비자동향조사(전국, 월, 2008.9~)","소비자심리지수","    60-70세","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.2.1. 소비자동향조사(전국, 월, 2008.9~)","소비자심리지수","    70세이상","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.2.1. 소비자동향조사(전국, 월, 2008.9~)","소비자심리지수","    봉급생활자","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.2.1. 소비자동향조사(전국, 월, 2008.9~)","소비자심리지수","    자영업자","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.2.1. 소비자동향조사(전국, 월, 2008.9~)","소비자심리지수","    기타","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.2.1. 소비자동향조사(전국, 월, 2008.9~)","소비자심리지수","    100만원미만","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.2.1. 소비자동향조사(전국, 월, 2008.9~)","소비자심리지수","    100-200만원","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6.2.1. 소비자동향조사(전국, 월, 2008.9~)","소비자심리지수","    200-300만원","","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
